TSM,Information Technology,900000000000
SAP,Information Technology,260000000000
BABA,Consumer Discretionary,220000000000
SE,Consumer Discretionary,90000000000
JD,Consumer Discretionary,45000000000
NTES,Communication Services,70000000000
BIDU,Communication Services,35000000000
TCOM,Consumer Discretionary,35000000000
TME,Communication Services,25000000000
LI,Consumer Discretionary,25000000000
NIO,Consumer Discretionary,10000000000
XPEV,Consumer Discretionary,15000000000
NVO,Health Care,300000000000
AZN,Health Care,230000000000
GSK,Health Care,90000000000
NVS,Health Care,220000000000
SNY,Health Care,130000000000
TAK,Health Care,45000000000
UL,Consumer Staples,140000000000
DEO,Consumer Staples,70000000000
BTI,Consumer Staples,95000000000
SHEL,Energy,220000000000
BP,Energy,100000000000
TTE,Energy,150000000000
E,Energy,55000000000
EQNR,Energy,80000000000
BHP,Materials,150000000000
RIO,Materials,105000000000
VALE,Materials,45000000000
GOLD,Materials,35000000000
TD,Financials,75000000000
RY,Financials,150000000000
BNS,Financials,55000000000
BMO,Financials,70000000000
CM,Financials,50000000000
HSBC,Financials,160000000000
DB,Financials,40000000000
UBS,Financials,100000000000
ING,Financials,55000000000
SAN,Financials,90000000000
BBVA,Financials,80000000000
ITUB,Financials,60000000000
BBD,Financials,35000000000
BSBR,Financials,15000000000
PBR,Energy,90000000000
MUFG,Financials,120000000000
SMFG,Financials,90000000000
NMR,Financials,20000000000
SONY,Consumer Discretionary,130000000000
TM,Consumer Discretionary,270000000000
HMC,Consumer Discretionary,55000000000
PHG,Health Care,25000000000
ERIC,Information Technology,25000000000
NOK,Information Technology,25000000000
STM,Information Technology,25000000000
INFY,Information Technology,90000000000
WIT,Information Technology,35000000000
HDB,Financials,150000000000
IBN,Financials,95000000000
WNS,Industrials,3000000000
CHKP,Information Technology,20000000000
TEVA,Health Care,20000000000
WIX,Information Technology,10000000000
GLBE,Information Technology,12000000000
FVRR,Information Technology,1500000000
CX,Materials,10000000000
AMX,Communication Services,45000000000
TSU,Communication Services,4000000000
VIV,Communication Services,10000000000
KT,Communication Services,7000000000
SKM,Communication Services,15000000000
LYG,Financials,50000000000
BCS,Financials,45000000000
RBS,Financials,25000000000
AEG,Financials,15000000000
STLA,Consumer Discretionary,45000000000
RACE,Consumer Discretionary,90000000000
DIDIY,Consumer Discretionary,25000000000
GRAB,Industrials,18000000000
SOXX,Information Technology,12000000000
SMH,Information Technology,25000000000
XBI,Health Care,8000000000
IBB,Health Care,10000000000
ARKK,Information Technology,5000000000
ARKG,Health Care,1500000000
KRE,Financials,4000000000
XOP,Energy,3000000000
GDX,Materials,13000000000
GDXJ,Materials,4000000000
TAN,Utilities,700000000
ITB,Consumer Discretionary,2500000000
XHB,Consumer Discretionary,1800000000
XME,Materials,1500000000
XRT,Consumer Discretionary,400000000
JETS,Industrials,700000000
IYT,Industrials,700000000
KWEB,Communication Services,5000000000
FXI,Financials,4000000000
EWZ,Financials,4000000000
EEM,Financials,18000000000
TQQQ,Information Technology,20000000000
SOXL,Information Technology,9000000000
